name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model,generation_count
5f54_model_converter,5f54ed46,qw32_00e9_mc_batch,success,53.98,768,432,336,0.0,0,0,F,mc,qw32,1
d588_model_converter,d5885fa7,qw32_00e9_mc_batch,success,122.05,4126,3448,678,0.0,0,0,F,mc,qw32,2
7b6b_model_converter,7b6bb115,qw32_00e9_mc_batch,success,49.73,741,432,309,0.0,0,0,F,mc,qw32,1
094a_model_converter,094a8767,qw32_00e9_mc_batch,success,109.17,3855,3250,605,0.0,0,0,F,mc,qw32,2
22b5_model_converter,22b56f86,qw32_00e9_mc_batch,success,51.11,750,432,318,0.0,0,0,F,mc,qw32,1
aa7d_model_converter,aa7d11b4,qw32_00e9_mc_batch,success,107.56,3861,3266,595,0.0,0,0,F,mc,qw32,2
1685_model_converter,1685fb09,qw32_00e9_mc_batch,success,49.07,737,432,305,0.0,0,0,F,mc,qw32,1
6bb3_model_converter,6bb39e33,qw32_00e9_mc_batch,success,170.97,6870,5948,922,0.0,0,0,F,mc,qw32,3
dd9a_model_converter,dd9ac89e,qw32_00e9_mc_batch,success,110.03,3855,3248,607,0.0,0,0,F,mc,qw32,2
ec6a_model_converter,ec6a85d0,qw32_00e9_mc_batch,success,47.04,724,432,292,0.0,0,0,F,mc,qw32,1
ef4d_py_sketch_generator,ef4dbf26,qw32_1099_psg_batch,success,277.86,5626,4001,1625,0.0,0,0,F,psg,qw32,2
